Регион: все регионы
Показатель: Рентабельность капитала

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
317;9;Венец;524;Ульяновская обл.;-2,08;-2,40;0,32;
318;-5;Витабанк;356;Санкт-Петербург и обл.;-2,13;-1,35;-0,78;
319;-52;Вакобанк;1291;Псковская обл.;-2,33;0,90;-3,23;
320;-1;Эко-Инвест;3116;Москва и обл.;-2,54;-1,82;-0,72;
321;-7;Нарат;1902;Татарстан;-2,59;-1,35;-1,24;
322;3;Долинск;857;Сахалинская обл.;-2,60;-2,38;-0,22;
323;13;Москоммерцбанк;3365;Москва и обл.;-2,63;-3,76;1,13;
324;5;Тайдон;2085;Кемеровская обл.;-2,64;-2,77;0,13;
325;29;Юнистрим;3467;Москва и обл.;-2,77;-7,18;4,41;
326;-3;Банк Жилищного Финансирования;3138;Москва и обл.;-2,78;-2,09;-0,69;
327;-12;Банк ПСА Финанс Рус;3481;Москва и обл.;-2,96;-1,41;-1,55;
328;34;Вологжанин;1896;Вологодская обл.;-3,17;-8,16;4,99;
329;6;КС Банк;1752;Мордовия;-3,58;-3,57;-0,01;
330;4;Сервис Резерв;2034;Москва и обл.;-3,63;-3,23;-0,40;
331;1;Дружба;990;Тюменская обл.;-3,81;-3,10;-0,71;
332;7;Банк Глобус;2438;Москва и обл.;-3,95;-4,69;0,74;
333;5;Первый Инвестиционный Банк;604;Москва и обл.;-3,97;-4,39;0,42;
334;-4;Холмск;503;Сахалинская обл.;-3,98;-2,78;-1,20;
335;-4;Новый Московский Банк;2932;Москва и обл.;-4,21;-3,07;-1,14;
336;21;Кредит Европа Банк;3311;Москва и обл.;-4,36;-7,53;3,17;
337;4;Мурманский Социальный Коммерческий Банк;2722;Мурманская обл.;-4,53;-5,00;0,47;
338;-17;Балаково-Банк;444;Саратовская обл.;-4,69;-2,00;-2,69;
339;8;Народный Доверительный Банк;2374;Москва и обл.;-4,70;-5,71;1,01;
340;5;Углеметбанк;2997;Челябинская обл.;-4,99;-5,57;0,58;
341;11;Живаго Банк;2065;Рязанская обл.;-5,03;-6,55;1,52;
342;8;Автоградбанк;1455;Татарстан;-5,10;-6,32;1,22;
343;13;Солидарность;554;Самарская обл.;-5,36;-7,50;2,14;
344;0;РусьРегионБанк;685;Москва и обл.;-5,39;-5,43;0,04;
345;-3;Дон-Тексбанк;1818;Ростовская обл.;-5,40;-5,34;-0,06;
346;5;Гута-Банк;256;Москва и обл.;-5,81;-6,42;0,61;
