Регион: все регионы
Показатель: Рентабельность активов-нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
306;-36;Межбанковский Кредитный Союз;3242;Москва и обл.;-0,09;0,22;-0,31;
307;-35;Севзапинвестпромбанк;2152;Санкт-Петербург и обл.;-0,10;0,19;-0,29;
308;-10;Урал ФД;249;Пермская обл.;-0,10;-0,02;-0,08;
309;5;Чайнасельхозбанк;3529;Москва и обл.;-0,15;-0,21;0,06;
310;0;Йошкар-Ола;2802;Марий Эл;-0,19;-0,18;-0,01;
311;-19;Евроазиатский Инвестиционный Банк;2897;Москва и обл.;-0,20;0,05;-0,25;
312;3;Кубаньторгбанк;478;Краснодарский край;-0,21;-0,23;0,02;
313;-5;Нордеа Банк;3016;Москва и обл.;-0,21;-0,14;-0,07;
314;-3;Долинск;857;Сахалинская обл.;-0,22;-0,20;-0,02;
315;2;Натиксис Банк;3390;Москва и обл.;-0,23;-0,25;0,02;
316;14;МТИ Банк;1052;Москва и обл.;-0,27;-0,59;0,32;
317;1;КС Банк;1752;Мордовия;-0,28;-0,28;0,00;
318;2;НК Банк;2755;Москва и обл.;-0,29;-0,35;0,06;
319;2;Венец;524;Ульяновская обл.;-0,31;-0,36;0,05;
320;-8;Витабанк;356;Санкт-Петербург и обл.;-0,33;-0,21;-0,12;
321;23;Вологжанин;1896;Вологодская обл.;-0,38;-0,97;0,59;
322;-106;Гефест;1046;Тверская обл.;-0,50;0,75;-1,25;
323;9;Агора;3231;Москва и обл.;-0,53;-0,63;0,10;
324;1;Рента-Банк;3095;Москва и обл.;-0,54;-0,43;-0,11;
325;-1;Банк Жилищного Финансирования;3138;Москва и обл.;-0,55;-0,41;-0,14;
326;3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;-0,57;-0,59;0,02;
327;18;Кредит Европа Банк;3311;Москва и обл.;-0,58;-0,99;0,41;
328;9;Живаго Банк;2065;Рязанская обл.;-0,59;-0,78;0,19;
329;-2;Социум-Банк;2881;Москва и обл.;-0,59;-0,53;-0,06;
330;6;Автоградбанк;1455;Татарстан;-0,62;-0,77;0,15;
331;0;Сервис Резерв;2034;Москва и обл.;-0,69;-0,60;-0,09;
332;-68;Вакобанк;1291;Псковская обл.;-0,74;0,29;-1,03;
333;8;Углеметбанк;2997;Челябинская обл.;-0,78;-0,86;0,08;
334;-1;Земкомбанк;574;Ростовская обл.;-0,82;-0,64;-0,18;
335;12;Народный Доверительный Банк;2374;Москва и обл.;-0,89;-1,08;0,19;
336;-2;Северстройбанк;3507;Вологодская обл.;-0,90;-0,69;-0,21;
337;11;Банк Глобус;2438;Москва и обл.;-0,91;-1,10;0,19;
338;15;Москоммерцбанк;3365;Москва и обл.;-0,91;-1,31;0,40;
339;4;Русфинанс Банк;1792;Самарская обл.;-0,93;-0,93;0,00;
340;-5;Банк Раунд;2506;Москва и обл.;-0,94;-0,73;-0,21;
341;33;Юнистрим;3467;Москва и обл.;-0,96;-2,46;1,50;
342;-4;Банк Зенит;3255;Москва и обл.;-0,97;-0,80;-0,17;
343;-4;Эко-Инвест;3116;Москва и обл.;-1,12;-0,82;-0,30;
344;-58;Возрождение;1439;Москва и обл.;-1,13;0,10;-1,23;
345;-3;Новый Московский Банк;2932;Москва и обл.;-1,25;-0,89;-0,36;
346;12;Первый Инвестиционный Банк;604;Москва и обл.;-1,43;-1,59;0,16;
